State,Measure ID,Measure Name,Number of Hospitals Worse,Number of Hospitals Same,Number of Hospitals Better,Number of Hospitals Too Few,Footnote,Start Date,End Date
MI,PSI_13,Postoperative sepsis rate,1.00 ,81.00 ,0.00 ,8.00 ,,07/01/2019,06/30/2021
MN,PSI_13,Postoperative sepsis rate,1.00 ,38.00 ,1.00 ,8.00 ,,07/01/2019,06/30/2021
NJ,MORT_30_STK,Death rate for stroke patients,1.00 ,50.00 ,5.00 ,8.00 ,,07/01/2019,06/30/2022
SC,MORT_30_HF,Death rate for heart failure patients,1.00 ,49.00 ,0.00 ,8.00 ,,07/01/2019,06/30/2022
WV,PSI_04,Death rate among surgical inpatients with serious treatable complications,1.00 ,12.00 ,0.00 ,8.00 ,,07/01/2019,06/30/2021
AR,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,23.00 ,0.00 ,8.00 ,,07/01/2019,06/30/2021
AR,PSI_14,Postoperative wound dehiscence rate,0.00 ,33.00 ,0.00 ,8.00 ,,07/01/2019,06/30/2021
CT,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,18.00 ,1.00 ,8.00 ,,04/01/2019,03/31/2022
FL,PSI_14,Postoperative wound dehiscence rate,0.00 ,162.00 ,0.00 ,8.00 ,,07/01/2019,06/30/2021
GA,PSI_09,Postoperative hemorrhage or hematoma rate,0.00 ,83.00 ,0.00 ,8.00 ,,07/01/2019,06/30/2021
IN,PSI_13,Postoperative sepsis rate,0.00 ,72.00 ,0.00 ,8.00 ,,07/01/2019,06/30/2021
MD,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,35.00 ,0.00 ,8.00 ,,04/01/2019,03/31/2022
MT,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,19.00 ,0.00 ,8.00 ,,04/01/2019,03/31/2022
NH,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,16.00 ,0.00 ,8.00 ,,04/01/2019,03/31/2022
NJ,MORT_30_AMI,Death rate for heart attack patients,0.00 ,56.00 ,1.00 ,8.00 ,,07/01/2019,06/30/2022
NV,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,19.00 ,0.00 ,8.00 ,,04/01/2019,03/31/2022
NV,MORT_30_HF,Death rate for heart failure patients,0.00 ,22.00 ,4.00 ,8.00 ,,07/01/2019,06/30/2022
WI,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,20.00 ,0.00 ,8.00 ,,07/01/2019,06/30/2022
WY,MORT_30_PN,Death rate for pneumonia patients,0.00 ,20.00 ,0.00 ,8.00 ,,07/01/2019,06/30/2022
KS,PSI_11,Postoperative respiratory failure rate,3.00 ,38.00 ,1.00 ,7.00 ,,07/01/2019,06/30/2021
OK,PSI_11,Postoperative respiratory failure rate,3.00 ,52.00 ,2.00 ,7.00 ,,07/01/2019,06/30/2021
AR,PSI_10,Postoperative acute kidney injury requiring dialysis rate,2.00 ,30.00 ,0.00 ,7.00 ,,07/01/2019,06/30/2021
IL,PSI_09,Postoperative hemorrhage or hematoma rate,1.00 ,119.00 ,0.00 ,7.00 ,,07/01/2019,06/30/2021
MN,PSI_10,Postoperative acute kidney injury requiring dialysis rate,1.00 ,40.00 ,0.00 ,7.00 ,,07/01/2019,06/30/2021
OK,PSI_13,Postoperative sepsis rate,1.00 ,55.00 ,0.00 ,7.00 ,,07/01/2019,06/30/2021
WI,PSI_14,Postoperative wound dehiscence rate,1.00 ,59.00 ,0.00 ,7.00 ,,07/01/2019,06/30/2021
AR,PSI_09,Postoperative hemorrhage or hematoma rate,0.00 ,37.00 ,0.00 ,7.00 ,,07/01/2019,06/30/2021
AR,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,0.00 ,37.00 ,0.00 ,7.00 ,,07/01/2019,06/30/2021
AR,PSI_13,Postoperative sepsis rate,0.00 ,31.00 ,0.00 ,7.00 ,,07/01/2019,06/30/2021
CT,MORT_30_AMI,Death rate for heart attack patients,0.00 ,20.00 ,0.00 ,7.00 ,,07/01/2019,06/30/2022
HI,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,4.00 ,0.00 ,7.00 ,,04/01/2019,03/31/2022
HI,MORT_30_AMI,Death rate for heart attack patients,0.00 ,7.00 ,0.00 ,7.00 ,,07/01/2019,06/30/2022
KS,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0.00 ,42.00 ,0.00 ,7.00 ,,07/01/2019,06/30/2021
KY,PSI_09,Postoperative hemorrhage or hematoma rate,0.00 ,56.00 ,0.00 ,7.00 ,,07/01/2019,06/30/2021
NC,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0.00 ,76.00 ,0.00 ,7.00 ,,07/01/2019,06/30/2021
NC,PSI_13,Postoperative sepsis rate,0.00 ,75.00 ,0.00 ,7.00 ,,07/01/2019,06/30/2021
NH,MORT_30_COPD,Death rate for COPD patients,0.00 ,19.00 ,0.00 ,7.00 ,,07/01/2019,06/30/2022
NH,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,6.00 ,0.00 ,7.00 ,,07/01/2019,06/30/2021
NY,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,28.00 ,0.00 ,7.00 ,,07/01/2019,06/30/2022
OH,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,43.00 ,1.00 ,7.00 ,,07/01/2019,06/30/2022
OK,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0.00 ,57.00 ,0.00 ,7.00 ,,07/01/2019,06/30/2021
PR,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,0.00 ,0.00 ,7.00 ,,07/01/2019,06/30/2022
RI,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,3.00 ,0.00 ,7.00 ,,07/01/2019,06/30/2021
WV,PSI_14,Postoperative wound dehiscence rate,0.00 ,22.00 ,0.00 ,7.00 ,,07/01/2019,06/30/2021
MO,PSI_11,Postoperative respiratory failure rate,7.00 ,53.00 ,2.00 ,6.00 ,,07/01/2019,06/30/2021
OH,PSI_11,Postoperative respiratory failure rate,6.00 ,111.00 ,1.00 ,6.00 ,,07/01/2019,06/30/2021
IL,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,3.00 ,118.00 ,0.00 ,6.00 ,,07/01/2019,06/30/2021
MI,PSI_11,Postoperative respiratory failure rate,3.00 ,80.00 ,1.00 ,6.00 ,,07/01/2019,06/30/2021
TN,PSI_09,Postoperative hemorrhage or hematoma rate,3.00 ,67.00 ,1.00 ,6.00 ,,07/01/2019,06/30/2021
TN,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,3.00 ,67.00 ,1.00 ,6.00 ,,07/01/2019,06/30/2021
MI,PSI_15,Abdominopelvic accidental puncture or laceration rate,2.00 ,83.00 ,0.00 ,6.00 ,,07/01/2019,06/30/2021
OH,PSI_10,Postoperative acute kidney injury requiring dialysis rate,2.00 ,116.00 ,0.00 ,6.00 ,,07/01/2019,06/30/2021
OH,PSI_13,Postoperative sepsis rate,2.00 ,114.00 ,2.00 ,6.00 ,,07/01/2019,06/30/2021
AR,PSI_11,Postoperative respiratory failure rate,1.00 ,31.00 ,0.00 ,6.00 ,,07/01/2019,06/30/2021
AZ,PSI_15,Abdominopelvic accidental puncture or laceration rate,1.00 ,58.00 ,0.00 ,6.00 ,,07/01/2019,06/30/2021
KY,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,1.00 ,56.00 ,0.00 ,6.00 ,,07/01/2019,06/30/2021
MN,PSI_11,Postoperative respiratory failure rate,1.00 ,39.00 ,2.00 ,6.00 ,,07/01/2019,06/30/2021
WV,PSI_10,Postoperative acute kidney injury requiring dialysis rate,1.00 ,22.00 ,0.00 ,6.00 ,,07/01/2019,06/30/2021
HI,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,5.00 ,0.00 ,6.00 ,,07/01/2019,06/30/2021
ID,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,8.00 ,0.00 ,6.00 ,,07/01/2019,06/30/2021
IL,PSI_15,Abdominopelvic accidental puncture or laceration rate,0.00 ,122.00 ,0.00 ,6.00 ,,07/01/2019,06/30/2021
KS,PSI_13,Postoperative sepsis rate,0.00 ,42.00 ,0.00 ,6.00 ,,07/01/2019,06/30/2021
MD,MORT_30_AMI,Death rate for heart attack patients,0.00 ,37.00 ,0.00 ,6.00 ,,07/01/2019,06/30/2022
MI,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0.00 ,84.00 ,0.00 ,6.00 ,,07/01/2019,06/30/2021
MO,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,24.00 ,0.00 ,6.00 ,,07/01/2019,06/30/2022
MO,PSI_15,Abdominopelvic accidental puncture or laceration rate,0.00 ,66.00 ,0.00 ,6.00 ,,07/01/2019,06/30/2021
NC,PSI_11,Postoperative respiratory failure rate,0.00 ,77.00 ,0.00 ,6.00 ,,07/01/2019,06/30/2021
SD,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,5.00 ,0.00 ,6.00 ,,07/01/2019,06/30/2021
TN,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,19.00 ,0.00 ,6.00 ,,07/01/2019,06/30/2022
UT,PSI_14,Postoperative wound dehiscence rate,0.00 ,26.00 ,0.00 ,6.00 ,,07/01/2019,06/30/2021
VT,MORT_30_AMI,Death rate for heart attack patients,0.00 ,9.00 ,0.00 ,6.00 ,,07/01/2019,06/30/2022
VT,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,1.00 ,0.00 ,6.00 ,,07/01/2019,06/30/2021
WV,PSI_11,Postoperative respiratory failure rate,0.00 ,22.00 ,1.00 ,6.00 ,,07/01/2019,06/30/2021
WY,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,2.00 ,0.00 ,6.00 ,,07/01/2019,06/30/2021
FL,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,7.00 ,157.00 ,1.00 ,5.00 ,,07/01/2019,06/30/2021
CA,PSI_15,Abdominopelvic accidental puncture or laceration rate,4.00 ,281.00 ,0.00 ,5.00 ,,07/01/2019,06/30/2021
AZ,PSI_10,Postoperative acute kidney injury requiring dialysis rate,3.00 ,49.00 ,0.00 ,5.00 ,,07/01/2019,06/30/2021
FL,PSI_09,Postoperative hemorrhage or hematoma rate,3.00 ,162.00 ,0.00 ,5.00 ,,07/01/2019,06/30/2021
AZ,PSI_11,Postoperative respiratory failure rate,2.00 ,49.00 ,1.00 ,5.00 ,,07/01/2019,06/30/2021
IN,PSI_15,Abdominopelvic accidental puncture or laceration rate,2.00 ,75.00 ,0.00 ,5.00 ,,07/01/2019,06/30/2021
MO,PSI_10,Postoperative acute kidney injury requiring dialysis rate,2.00 ,61.00 ,0.00 ,5.00 ,,07/01/2019,06/30/2021
AR,PSI_15,Abdominopelvic accidental puncture or laceration rate,1.00 ,38.00 ,0.00 ,5.00 ,,07/01/2019,06/30/2021
AZ,PSI_13,Postoperative sepsis rate,1.00 ,51.00 ,0.00 ,5.00 ,,07/01/2019,06/30/2021
CA,PSI_08,In-hospital fall with hip fracture rate,1.00 ,293.00 ,0.00 ,5.00 ,,07/01/2019,06/30/2021
MO,PSI_13,Postoperative sepsis rate,1.00 ,60.00 ,1.00 ,5.00 ,,07/01/2019,06/30/2021
NM,PSI_11,Postoperative respiratory failure rate,1.00 ,18.00 ,0.00 ,5.00 ,,07/01/2019,06/30/2021
VA,MORT_30_CABG,Death rate for CABG surgery patients,1.00 ,17.00 ,0.00 ,5.00 ,,07/01/2019,06/30/2022
CA,PSI_06,Iatrogenic pneumothorax rate,0.00 ,294.00 ,0.00 ,5.00 ,,07/01/2019,06/30/2021
IA,PSI_14,Postoperative wound dehiscence rate,0.00 ,29.00 ,0.00 ,5.00 ,,07/01/2019,06/30/2021
KS,PSI_15,Abdominopelvic accidental puncture or laceration rate,0.00 ,43.00 ,0.00 ,5.00 ,,07/01/2019,06/30/2021
KY,PSI_15,Abdominopelvic accidental puncture or laceration rate,0.00 ,58.00 ,0.00 ,5.00 ,,07/01/2019,06/30/2021
LA,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,21.00 ,0.00 ,5.00 ,,07/01/2019,06/30/2022
MA,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,48.00 ,2.00 ,5.00 ,,04/01/2019,03/31/2022
MA,MORT_30_STK,Death rate for stroke patients,0.00 ,47.00 ,4.00 ,5.00 ,,07/01/2019,06/30/2022
MD,MORT_30_STK,Death rate for stroke patients,0.00 ,40.00 ,0.00 ,5.00 ,,07/01/2019,06/30/2022
ME,MORT_30_PN,Death rate for pneumonia patients,0.00 ,29.00 ,0.00 ,5.00 ,,07/01/2019,06/30/2022
MI,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,31.00 ,0.00 ,5.00 ,,07/01/2019,06/30/2022
MS,PSI_14,Postoperative wound dehiscence rate,0.00 ,39.00 ,0.00 ,5.00 ,,07/01/2019,06/30/2021
NM,PSI_13,Postoperative sepsis rate,0.00 ,19.00 ,0.00 ,5.00 ,,07/01/2019,06/30/2021
NM,PSI_14,Postoperative wound dehiscence rate,0.00 ,21.00 ,0.00 ,5.00 ,,07/01/2019,06/30/2021
NV,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,14.00 ,1.00 ,5.00 ,,07/01/2019,06/30/2021
SC,PSI_14,Postoperative wound dehiscence rate,0.00 ,47.00 ,0.00 ,5.00 ,,07/01/2019,06/30/2021
SD,PSI_14,Postoperative wound dehiscence rate,0.00 ,13.00 ,0.00 ,5.00 ,,07/01/2019,06/30/2021
VA,PSI_14,Postoperative wound dehiscence rate,0.00 ,66.00 ,0.00 ,5.00 ,,07/01/2019,06/30/2021
WV,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,0.00 ,25.00 ,0.00 ,5.00 ,,07/01/2019,06/30/2021
WV,PSI_13,Postoperative sepsis rate,0.00 ,21.00 ,1.00 ,5.00 ,,07/01/2019,06/30/2021
CA,PSI_03,Pressure ulcer rate,13.00 ,278.00 ,1.00 ,4.00 ,,07/01/2019,06/30/2021
PA,PSI_03,Pressure ulcer rate,7.00 ,142.00 ,0.00 ,4.00 ,,07/01/2019,06/30/2021
NY,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,5.00 ,134.00 ,1.00 ,4.00 ,,07/01/2019,06/30/2021
NY,PSI_09,Postoperative hemorrhage or hematoma rate,4.00 ,136.00 ,0.00 ,4.00 ,,07/01/2019,06/30/2021
NY,PSI_15,Abdominopelvic accidental puncture or laceration rate,4.00 ,135.00 ,1.00 ,4.00 ,,07/01/2019,06/30/2021
MI,PSI_03,Pressure ulcer rate,3.00 ,90.00 ,0.00 ,4.00 ,,07/01/2019,06/30/2021
MD,MORT_30_PN,Death rate for pneumonia patients,2.00 ,40.00 ,1.00 ,4.00 ,,07/01/2019,06/30/2022
MS,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,2.00 ,40.00 ,0.00 ,4.00 ,,07/01/2019,06/30/2021
VA,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,2.00 ,68.00 ,0.00 ,4.00 ,,07/01/2019,06/30/2021
AZ,PSI_09,Postoperative hemorrhage or hematoma rate,1.00 ,59.00 ,0.00 ,4.00 ,,07/01/2019,06/30/2021
HI,MORT_30_HF,Death rate for heart failure patients,1.00 ,9.00 ,0.00 ,4.00 ,,07/01/2019,06/30/2022
MA,PSI_14,Postoperative wound dehiscence rate,1.00 ,50.00 ,0.00 ,4.00 ,,07/01/2019,06/30/2021
NM,PSI_10,Postoperative acute kidney injury requiring dialysis rate,1.00 ,18.00 ,0.00 ,4.00 ,,07/01/2019,06/30/2021
OH,PSI_15,Abdominopelvic accidental puncture or laceration rate,1.00 ,119.00 ,0.00 ,4.00 ,,07/01/2019,06/30/2021
OK,MORT_30_CABG,Death rate for CABG surgery patients,1.00 ,10.00 ,0.00 ,4.00 ,,07/01/2019,06/30/2022
SC,PSI_15,Abdominopelvic accidental puncture or laceration rate,1.00 ,49.00 ,0.00 ,4.00 ,,07/01/2019,06/30/2021
VA,PSI_09,Postoperative hemorrhage or hematoma rate,1.00 ,69.00 ,0.00 ,4.00 ,,07/01/2019,06/30/2021
WA,PSI_15,Abdominopelvic accidental puncture or laceration rate,1.00 ,46.00 ,0.00 ,4.00 ,,07/01/2019,06/30/2021
AZ,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,20.00 ,0.00 ,4.00 ,,07/01/2019,06/30/2022
AZ,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,0.00 ,60.00 ,0.00 ,4.00 ,,07/01/2019,06/30/2021
CO,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,13.00 ,0.00 ,4.00 ,,07/01/2019,06/30/2022
CO,PSI_14,Postoperative wound dehiscence rate,0.00 ,45.00 ,0.00 ,4.00 ,,07/01/2019,06/30/2021
GA,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,18.00 ,0.00 ,4.00 ,,07/01/2019,06/30/2022
HI,MORT_30_STK,Death rate for stroke patients,0.00 ,10.00 ,0.00 ,4.00 ,,07/01/2019,06/30/2022
ME,PSI_13,Postoperative sepsis rate,0.00 ,14.00 ,0.00 ,4.00 ,,07/01/2019,06/30/2021
MS,PSI_09,Postoperative hemorrhage or hematoma rate,0.00 ,42.00 ,0.00 ,4.00 ,,07/01/2019,06/30/2021
MT,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,7.00 ,0.00 ,4.00 ,,07/01/2019,06/30/2021
NH,MORT_30_HF,Death rate for heart failure patients,0.00 ,20.00 ,2.00 ,4.00 ,,07/01/2019,06/30/2022
NJ,MORT_30_COPD,Death rate for COPD patients,0.00 ,61.00 ,0.00 ,4.00 ,,07/01/2019,06/30/2022
SD,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,13.00 ,1.00 ,4.00 ,,04/01/2019,03/31/2022
TN,PSI_15,Abdominopelvic accidental puncture or laceration rate,0.00 ,75.00 ,0.00 ,4.00 ,,07/01/2019,06/30/2021
VT,MORT_30_STK,Death rate for stroke patients,0.00 ,10.00 ,0.00 ,4.00 ,,07/01/2019,06/30/2022
WV,PSI_09,Postoperative hemorrhage or hematoma rate,0.00 ,25.00 ,0.00 ,4.00 ,,07/01/2019,06/30/2021
WV,PSI_15,Abdominopelvic accidental puncture or laceration rate,0.00 ,25.00 ,0.00 ,4.00 ,,07/01/2019,06/30/2021
NY,PSI_03,Pressure ulcer rate,35.00 ,111.00 ,2.00 ,3.00 ,,07/01/2019,06/30/2021
LA,PSI_03,Pressure ulcer rate,7.00 ,78.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2021
MS,PSI_03,Pressure ulcer rate,6.00 ,51.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2021
SC,MORT_30_PN,Death rate for pneumonia patients,5.00 ,48.00 ,2.00 ,3.00 ,,07/01/2019,06/30/2022
HI,MORT_30_PN,Death rate for pneumonia patients,3.00 ,8.00 ,1.00 ,3.00 ,,07/01/2019,06/30/2022
VA,MORT_30_HF,Death rate for heart failure patients,3.00 ,71.00 ,5.00 ,3.00 ,,07/01/2019,06/30/2022
VA,MORT_30_PN,Death rate for pneumonia patients,3.00 ,74.00 ,3.00 ,3.00 ,,07/01/2019,06/30/2022
FL,PSI_15,Abdominopelvic accidental puncture or laceration rate,2.00 ,165.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2021
MD,MORT_30_HF,Death rate for heart failure patients,2.00 ,36.00 ,5.00 ,3.00 ,,07/01/2019,06/30/2022
WA,PSI_14,Postoperative wound dehiscence rate,2.00 ,44.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2021
MO,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,1.00 ,65.00 ,1.00 ,3.00 ,,07/01/2019,06/30/2021
MS,PSI_15,Abdominopelvic accidental puncture or laceration rate,1.00 ,42.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2021
NC,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,1.00 ,82.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2021
NC,PSI_14,Postoperative wound dehiscence rate,1.00 ,80.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2021
NC,PSI_15,Abdominopelvic accidental puncture or laceration rate,1.00 ,82.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2021
NY,PSI_08,In-hospital fall with hip fracture rate,1.00 ,147.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2021
SD,PSI_09,Postoperative hemorrhage or hematoma rate,1.00 ,15.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2021
VA,PSI_15,Abdominopelvic accidental puncture or laceration rate,1.00 ,69.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2021
AK,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,4.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2021
AR,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,13.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2022
HI,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,2.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2022
IN,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,25.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2022
KS,PSI_09,Postoperative hemorrhage or hematoma rate,0.00 ,46.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2021
KS,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,0.00 ,45.00 ,1.00 ,3.00 ,,07/01/2019,06/30/2021
KY,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,14.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2022
MA,MORT_30_COPD,Death rate for COPD patients,0.00 ,52.00 ,3.00 ,3.00 ,,07/01/2019,06/30/2022
MD,MORT_30_COPD,Death rate for COPD patients,0.00 ,40.00 ,2.00 ,3.00 ,,07/01/2019,06/30/2022
ME,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0.00 ,15.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2021
ME,PSI_11,Postoperative respiratory failure rate,0.00 ,15.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2021
ME,PSI_14,Postoperative wound dehiscence rate,0.00 ,15.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2021
MN,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,12.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2022
MN,PSI_15,Abdominopelvic accidental puncture or laceration rate,0.00 ,45.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2021
MO,PSI_09,Postoperative hemorrhage or hematoma rate,0.00 ,67.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2021
NC,PSI_09,Postoperative hemorrhage or hematoma rate,0.00 ,83.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2021
NE,PSI_14,Postoperative wound dehiscence rate,0.00 ,22.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2021
NY,PSI_06,Iatrogenic pneumothorax rate,0.00 ,147.00 ,1.00 ,3.00 ,,07/01/2019,06/30/2021
RI,MORT_30_AMI,Death rate for heart attack patients,0.00 ,7.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2022
SD,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0.00 ,15.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2021
SD,PSI_11,Postoperative respiratory failure rate,0.00 ,15.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2021
SD,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,0.00 ,16.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2021
SD,PSI_13,Postoperative sepsis rate,0.00 ,14.00 ,1.00 ,3.00 ,,07/01/2019,06/30/2021
UT,PSI_11,Postoperative respiratory failure rate,0.00 ,27.00 ,2.00 ,3.00 ,,07/01/2019,06/30/2021
UT,PSI_15,Abdominopelvic accidental puncture or laceration rate,0.00 ,30.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2021
VT,MORT_30_COPD,Death rate for COPD patients,0.00 ,12.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2022
WA,PSI_09,Postoperative hemorrhage or hematoma rate,0.00 ,48.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2021
WA,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,0.00 ,48.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2021
WA,PSI_13,Postoperative sepsis rate,0.00 ,46.00 ,0.00 ,3.00 ,,07/01/2019,06/30/2021
GA,PSI_03,Pressure ulcer rate,8.00 ,93.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
NM,PSI_03,Pressure ulcer rate,6.00 ,23.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
OH,PSI_03,Pressure ulcer rate,6.00 ,118.00 ,2.00 ,2.00 ,,07/01/2019,06/30/2021
WV,PSI_03,Pressure ulcer rate,5.00 ,26.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
MI,PSI_09,Postoperative hemorrhage or hematoma rate,3.00 ,87.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
WI,PSI_11,Postoperative respiratory failure rate,3.00 ,61.00 ,1.00 ,2.00 ,,07/01/2019,06/30/2021
CT,PSI_11,Postoperative respiratory failure rate,2.00 ,23.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
GA,PSI_08,In-hospital fall with hip fracture rate,2.00 ,99.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
KS,PSI_03,Pressure ulcer rate,2.00 ,49.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
MD,PSI_11,Postoperative respiratory failure rate,2.00 ,39.00 ,2.00 ,2.00 ,,07/01/2019,06/30/2021
MI,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,2.00 ,87.00 ,1.00 ,2.00 ,,07/01/2019,06/30/2021
MS,PSI_08,In-hospital fall with hip fracture rate,2.00 ,56.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
NJ,PSI_13,Postoperative sepsis rate,2.00 ,60.00 ,1.00 ,2.00 ,,07/01/2019,06/30/2021
OH,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,2.00 ,120.00 ,1.00 ,2.00 ,,07/01/2019,06/30/2021
AL,MORT_30_CABG,Death rate for CABG surgery patients,1.00 ,19.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2022
CT,PSI_13,Postoperative sepsis rate,1.00 ,24.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
IA,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,1.00 ,32.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
IA,PSI_15,Abdominopelvic accidental puncture or laceration rate,1.00 ,32.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
IN,PSI_03,Pressure ulcer rate,1.00 ,79.00 ,2.00 ,2.00 ,,07/01/2019,06/30/2021
IN,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,1.00 ,79.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
MA,MORT_30_PN,Death rate for pneumonia patients,1.00 ,37.00 ,18.00 ,2.00 ,,07/01/2019,06/30/2022
MA,PSI_11,Postoperative respiratory failure rate,1.00 ,49.00 ,2.00 ,2.00 ,,07/01/2019,06/30/2021
MD,PSI_15,Abdominopelvic accidental puncture or laceration rate,1.00 ,42.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2021
MS,MORT_30_CABG,Death rate for CABG surgery patients,1.00 ,14.00 ,0.00 ,2.00 ,,07/01/2019,06/30/2022
